"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000003147.19",200.420352157826,-4.02460046517288,0.156322588477087,1639.52266780938,0,0
"ENSG00000003402.20",1156.69671220456,0.734506353645933,0.11383174249614,2375.56687812489,0,0
"ENSG00000004399.12",1757.70552811931,-2.96021249427675,0.132631517457873,1690.61172175746,0,0
"ENSG00000005100.13",1153.87821311867,-0.768001858181471,0.0577719622879686,1583.98857956883,0,0
"ENSG00000005108.16",1284.43141513923,0.514165065033882,0.223680360463207,1721.64480582025,0,0
"ENSG00000005884.18",487.222373610101,-2.90283033464706,0.117123393668984,1727.74332205038,0,0
"ENSG00000006453.14",247.162010124532,-0.79375606013422,0.111890886715544,2909.72839449143,0,0
"ENSG00000006468.14",703.893777656088,-2.82842842982726,0.0927017186901024,2077.68065151196,0,0
"ENSG00000007062.11",442.440580292448,-2.74784123440529,0.148117500575068,3756.79246261135,0,0
"ENSG00000007237.18",3241.37654805904,-0.916686937979533,0.13513617053655,2461.80486616095,0,0
"ENSG00000008083.14",2572.01125191978,-2.63185679103984,0.0675317748833518,4695.19314037668,0,0
"ENSG00000008196.13",2329.80272928805,7.98339672030939,0.253986476110946,4057.42605279337,0,0
"ENSG00000008311.15",6369.68667056141,-3.29178925680304,0.114424029912096,3078.24045392523,0,0
"ENSG00000008735.14",1376.5200157684,-0.148459317919223,0.166174520619606,2918.70181327872,0,0
"ENSG00000009709.12",214.133440896964,7.7236292186235,0.319638688378279,3592.48693161216,0,0
"ENSG00000010278.14",1075.17698561591,-4.79900068484229,0.134912956672017,2838.71524623212,0,0
"ENSG00000010292.13",2971.21290123654,-0.263767792823156,0.0813047655879833,1793.56938782874,0,0
"ENSG00000010319.7",814.31365341015,-1.03495301174329,0.196776660923675,2733.29182967745,0,0
"ENSG00000011105.14",1039.27413111495,-0.496835437959175,0.0719547881846349,1798.01296857922,0,0
"ENSG00000011201.12",407.590818135059,-2.80309258611541,0.092535258666554,3639.75419604446,0,0
"ENSG00000011426.11",1713.70055760989,0.357045866421241,0.0729594477075377,2670.51921181092,0,0
"ENSG00000011465.17",248.435055207162,-0.647879410750526,0.435612153970583,2280.27128223445,0,0
"ENSG00000012171.20",2555.5494673729,1.26795264703171,0.16406790424041,4524.9956736643,0,0
"ENSG00000015133.19",983.17110819557,0.283026354431615,0.065295640884022,2476.10135847368,0,0
"ENSG00000015592.16",1529.47173130813,0.72587866800424,0.340658788823551,2844.6391431825,0,0
"ENSG00000016082.15",2090.67562109063,-0.905175092427407,0.379138740110778,4745.16779283408,0,0
"ENSG00000017483.15",229.962031853447,-2.49871681332375,0.139410056439634,2531.53190421095,0,0
"ENSG00000018189.13",3083.49279523355,0.417464685977758,0.0975435348996781,1741.62220223741,0,0
"ENSG00000018236.15",1332.02950509861,-5.84027062106951,0.263284264346819,2754.25117749322,0,0
"ENSG00000018408.14",1287.72351077746,-0.239499990822655,0.097713490943319,2431.4722791947,0,0
"ENSG00000018625.15",2355.62873270688,2.70955596952844,0.0719131909579484,5428.57967886652,0,0
"ENSG00000020181.18",425.691181777319,-2.59684357746541,0.244580120649378,2845.62288325739,0,0
"ENSG00000021300.14",1327.38378379053,-0.0663469964323453,0.139516435670639,2278.26789398502,0,0
"ENSG00000023839.12",141.18895360364,0.0977646707731161,0.233252821324081,2084.1434734228,0,0
"ENSG00000024526.17",639.66639863817,-0.00744003702864461,0.103501480438115,1668.74029174396,0,0
"ENSG00000026025.16",21106.8194788745,2.89298484618705,0.116987273082222,2269.72175746677,0,0
"ENSG00000031081.11",320.983412004013,-2.87448757296018,0.186079432849947,1748.05206006431,0,0
"ENSG00000035499.13",792.674373913632,-0.283536534778781,0.0754287631607279,2895.11083295116,0,0
"ENSG00000035862.12",4630.96000828036,0.256911964423096,0.101980241166803,3075.6948408454,0,0
"ENSG00000035928.16",1562.59326692492,-0.118829430730408,0.0676344178722224,1616.94143370184,0,0
"ENSG00000039523.20",687.372748621145,0.3564562325005,0.0932431463271608,2284.87750830453,0,0
"ENSG00000043143.20",190.427775078178,-4.13019895118917,0.157008991646031,1832.46240012556,0,0
"ENSG00000043355.12",1125.59195136713,1.04838683111968,0.0957766506005742,7168.05470678826,0,0
"ENSG00000044524.11",399.120747522327,-1.11478096570401,0.365760342060674,2252.38738683265,0,0
"ENSG00000046604.13",1790.34074903656,-2.30234992737072,0.102504461285916,3077.33174155586,0,0
"ENSG00000046889.19",545.770156940867,-1.25609560153227,0.0841774504991226,4440.09098929847,0,0
"ENSG00000048028.11",1066.60522215775,-2.19274908909541,0.0724237409681591,3056.80759685955,0,0
"ENSG00000048740.18",2987.91273307056,1.44597326603788,0.0802091963729952,1670.3417609699,0,0
"ENSG00000049130.16",1384.82990807236,0.388381973739588,0.128240003883555,2520.15229393459,0,0
"ENSG00000050165.18",760.830901559823,-1.62150139234525,0.110354752973998,2262.28372474141,0,0
"ENSG00000050344.9",1080.47302437584,-4.68611073320893,0.0950692036298489,4807.67827618505,0,0
"ENSG00000050555.18",99.6700675666279,-6.57692130662742,0.340592052679831,1749.51260841241,0,0
"ENSG00000052344.16",233.542621950659,-4.69039738215398,0.14823538596178,5058.29615210921,0,0
"ENSG00000056487.16",653.609832933026,-0.603148860384685,0.111246084641284,1773.91945370428,0,0
"ENSG00000056998.20",1398.766573729,-1.0739048217006,0.0573078438966148,2013.80774047409,0,0
"ENSG00000057294.14",224.747136806101,-2.89671015164697,0.120097284144655,2409.7713786382,0,0
"ENSG00000058404.20",378.976443119879,1.21677162968248,0.380949444352944,2114.06112979574,0,0
"ENSG00000058668.14",1048.6440309436,1.21641846263383,0.0647419277651273,1612.01294746024,0,0
"ENSG00000059804.16",4117.58615334805,-0.369820713144199,0.108690905662238,3641.39196876622,0,0
"ENSG00000059915.17",371.222991170944,-1.71065346336107,0.163117038281801,1519.76173158664,0,0
"ENSG00000060709.15",564.590062729411,3.24945706034015,0.190555573752849,1659.56174973863,0,0
"ENSG00000061676.15",3730.07007996141,-0.88298817880437,0.043065922993875,1951.44810963604,0,0
"ENSG00000062038.14",1437.36573260212,-4.73356982070463,0.115521384962561,2193.78868975671,0,0
"ENSG00000062822.14",819.61121844258,-0.0921650391157455,0.0890767082316769,1720.68614404801,0,0
"ENSG00000063660.9",2239.44782252263,0.814869536774971,0.0762751299887043,1989.20466480534,0,0
"ENSG00000064300.9",6141.51823149623,2.79667913618373,0.0868324444800944,4157.50310853356,0,0
"ENSG00000064309.14",1187.2212326545,3.50534516826105,0.0879519486505173,5228.17788542788,0,0
"ENSG00000064655.19",754.804494573944,1.26027736325987,0.18547555438518,9339.51013465328,0,0
"ENSG00000064666.15",2452.55614083043,-0.735838169985323,0.0923164691225211,2071.95804598934,0,0
"ENSG00000065150.21",8042.15979570631,-0.0473294244341976,0.0633943559178681,2339.48479327077,0,0
"ENSG00000065328.16",707.263326544616,0.169479867811013,0.092897433229559,1847.03111481819,0,0
"ENSG00000065361.15",4589.77898537932,-0.811316535109567,0.0915395245361477,1815.61133537296,0,0
"ENSG00000065413.20",404.648639721038,0.796293239966439,0.219365262515647,2167.82127693565,0,0
