,genes,cluster,hierachical_cluster
3388,MTHFD2,brown,1
3389,SAE1,brown,1
3390,LRIG1,brown,1
3391,MTMR12,brown,1
3392,ZNF813,brown,1
3393,URI1,brown,1
3394,USP25,brown,1
3395,ALS2CL,brown,1
3396,ESPL1,brown,1
3397,DENND4C,brown,1
3398,FBXO33,brown,1
3399,PRRC2C,brown,1
3400,EIF3A,brown,1
3401,MAP3K7,brown,1
3402,IGF2BP1,brown,1
3403,ELOVL6,brown,1
3404,MSL2,brown,1
3405,SMARCA5,brown,1
3406,CCNG1,brown,1
3407,UBN1,brown,1
3408,MME,brown,1
3409,PUM1,brown,1
3410,SECISBP2,brown,1
3411,GGA2,brown,1
3412,TRAPPC11,brown,1
3413,NONO,brown,1
3414,USP44,brown,1
3415,PWP1,brown,1
3416,CDKN2AIP,brown,1
3417,ZNF618,brown,1
3418,SLC2A3,brown,1
3419,KBTBD8,brown,1
3420,AKIRIN1,brown,1
3421,HNRNPM,brown,1
3422,ZNF281,brown,1
3423,NAA16,brown,1
3424,N4BP1,brown,1
3425,SLC9A1,brown,1
3426,ATP11C,brown,1
3427,TBC1D1,brown,1
3428,TEX14,brown,1
3429,ZNF367,brown,1
3430,TRPM7,brown,1
3431,CTTNBP2,brown,1
3432,MYCBP,brown,1
3433,SLC29A2,brown,1
3434,CDH8,brown,1
3435,MIER1,brown,1
3436,TBC1D31,brown,1
3437,GTF2I,brown,1
3438,SLC7A11,brown,1
3439,TCF4,brown,1
3440,ATP13A3,brown,1
3441,RAPGEF5,brown,1
3442,PCDHA3,brown,1
3443,XPO4,brown,1
3444,PTCD3,brown,1
3445,WWC1,brown,1
3446,XKR8,brown,1
3447,PGAP2,brown,1
3448,METTL17,brown,1
3449,STC1,brown,1
3450,FADS2,brown,1
3451,BRWD3,brown,1
3452,CCDC150,brown,1
3453,CCKBR,brown,1
3454,CLIC4,brown,1
3455,GGA3,brown,1
3456,NAP1L1,brown,1
3457,GCC2,brown,1
3458,FRAS1,brown,1
3459,ZNF808,brown,1
3460,EXOSC3,brown,1
3461,AHCTF1,brown,1
3462,MCCC1,brown,1
3463,JARID2,brown,1
3464,HNRNPU,brown,1
3465,LFNG,brown,1
3466,CNBP,brown,1
3467,ALDOA,brown,1
3468,AQR,brown,1
3469,YOD1,brown,1
3470,PNPLA6,brown,1
3471,INTS2,brown,1
3472,TNRC6A,brown,1
3473,SEH1L,brown,1
3474,RNF168,brown,1
3475,NLE1,brown,1
3476,RANBP2,brown,1
3477,GPBP1,brown,1
3478,LBR,brown,1
3479,PPHLN1,brown,1
3480,MIXL1,brown,1
3481,NUDT15,brown,1
3482,BRPF1,brown,1
3483,PIK3C2A,brown,1
3484,AP4E1,brown,1
3485,MED1,brown,1
3486,ZNF717,brown,1
3487,SMARCA4,brown,1
3488,CIT,brown,1
3489,SLC35A4,brown,1
3490,TAF4B,brown,1
3491,MTF2,brown,1
3492,ZMYM2,brown,1
3493,GFAP,brown,1
3494,SLBP,brown,1
3495,JADE1,brown,1
3496,ZNF567,brown,1
3497,SLC38A2,brown,1
3498,CCNJL,brown,1
3499,ZNF462,brown,1
3500,FAF1,brown,1
3501,WDR3,brown,1
3502,ZNF460,brown,1
3503,DUSP22,brown,1
3504,SLC38A1,brown,1
3505,RAC2,brown,1
3506,CAND1,brown,1
3507,POLQ,brown,1
3508,CLOCK,brown,1
3509,ALPK3,brown,1
3510,HNRNPA2B1,brown,1
3511,NUP210,brown,1
3512,PKP2,brown,1
3513,RASGRP1,brown,1
3514,MMS19,brown,1
3515,NUP43,brown,1
3516,HELLS,brown,1
3517,GOT2,brown,1
3518,REV1,brown,1
3519,DDI2,brown,1
3520,SNX5,brown,1
3521,DEPDC1B,brown,1
3522,POLA2,brown,1
3523,CHD7,brown,1
3524,ZNF543,brown,1
3525,BAK1,brown,1
3526,CPSF6,brown,1
3527,SALL1,brown,1
3528,LUZP1,brown,1
3529,PKP4,brown,1
3530,SLC25A15,brown,1
3531,TOX3,brown,1
3532,CHTOP,brown,1
3533,ROCK1,brown,1
3534,CAAP1,brown,1
3535,ING3,brown,1
3536,PRDM1,brown,1
3537,ZBTB39,brown,1
3538,COG5,brown,1
3539,SALL4,brown,1
3540,ESCO1,brown,1
3541,MFHAS1,brown,1
3542,GSTCD,brown,1
3543,NUDT12,brown,1
3544,SERBP1,brown,1
3545,XPO1,brown,1
3546,MTFP1,brown,1
3547,MT1G,brown,1
3548,SUB1,brown,1
3549,MYCN,brown,1
3550,HNRNPA1,brown,1
3551,PEX19,brown,1
3552,IL15,brown,1
3553,SERP1,brown,1
3554,ZDHHC7,brown,1
3555,RBM47,brown,1
3556,C2orf69,brown,1
3557,PCDHA13,brown,1
3558,PPP6R1,brown,1
3559,CCNF,brown,1
3560,PCDH19,brown,1
3561,DNA2,brown,1
3562,TTC26,brown,1
3563,USP7,brown,1
3564,PRPF38B,brown,1
3565,TICRR,brown,1
3566,LDLR,brown,1
3567,ACVR2B,brown,1
3568,SLC36A4,brown,1
3569,PCTP,brown,1
3570,PHF3,brown,1
3571,GPATCH2L,brown,1
3572,KAT7,brown,1
3573,MGAT1,brown,1
3574,LRBA,brown,1
3575,TIMM8A,brown,1
3576,PPP4C,brown,1
3577,INO80C,brown,1
3578,BCL2L13,brown,1
3579,INTS4,brown,1
3580,RNF138,brown,1
3581,SMG1,brown,1
3582,AMER1,brown,1
3583,ZNF689,brown,1
3584,IGDCC3,brown,1
3585,C11orf45,brown,1
3586,MLLT10,brown,1
3587,CRK,brown,1
3588,B4GALT1,brown,1
3589,SUV39H1,brown,1
3590,ZNF544,brown,1
3591,ARIH1,brown,1
3592,ZFP62,brown,1
3593,ZFC3H1,brown,1
3594,FUZ,brown,1
3595,MTFR1,brown,1
3596,TDP2,brown,1
3597,CECR2,brown,1
3598,TTC31,brown,1
3599,PELP1,brown,1
3600,THEMIS2,brown,1
3601,CHD6,brown,1
3602,PNRC2,brown,1
3603,PSTPIP2,brown,1
3604,SIM1,brown,1
3605,UBE4B,brown,1
3606,BTG3,brown,1
3607,DRAM2,brown,1
3608,SZRD1,brown,1
3609,PPP1R12A,brown,1
3610,ZNF609,brown,1
3611,TRPC4,brown,1
3612,RRM1,brown,1
3613,EPPK1,brown,1
3614,CARM1,brown,1
3615,METAP1,brown,1
3616,ELL2,brown,1
3617,BAG2,brown,1
3618,BTAF1,brown,1
3619,C18orf25,brown,1
3620,GALNT7,brown,1
3621,GTF3C3,brown,1
3622,WDR1,brown,1
3623,CHEK1,brown,1
3624,MAP1S,brown,1
3625,CCT6A,brown,1
3626,ZBED4,brown,1
3627,ORC2,brown,1
3628,UHRF2,brown,1
3629,ZNF710,brown,1
3630,CSDE1,brown,1
3631,C1orf174,brown,1
3632,SLC16A10,brown,1
3633,TCF12,brown,1
3634,NRBF2,brown,1
3635,SMC1A,brown,1
3636,CGN,brown,1
3637,DIXDC1,brown,1
3638,NIP7,brown,1
3639,WNT5A,brown,1
3640,TRIAP1,brown,1
3641,AGO1,brown,1
3642,RFX7,brown,1
3643,TET1,brown,1
3644,ZNF766,brown,1
3645,IRS1,brown,1
3646,OTUD4,brown,1
3647,KCNN3,brown,1
3648,FAM76A,brown,1
3649,RFXAP,brown,1
3650,TTLL4,brown,1
3651,DPH2,brown,1
3652,EZH2,brown,1
3653,CDR2L,brown,1
3654,KMT2D,brown,1
3655,PHF20,brown,1
3656,POU2F1,brown,1
3657,MT1H,brown,1
3658,PPP2R5E,brown,1
3659,ATRIP,brown,1
3660,LMAN1,brown,1
3661,ZNF850,brown,1
3662,POLR1A,brown,1
3663,PHIP,brown,1
3664,CELF1,brown,1
3665,SRSF7,brown,1
3666,TARDBP,brown,1
3667,CACUL1,brown,1
3668,PATZ1,brown,1
3669,PLEKHA8,brown,1
3670,NFATC3,brown,1
3671,FEM1C,brown,1
3672,S1PR1,brown,1
3673,UNC5D,brown,1
3674,SDAD1,brown,1
3675,ATL2,brown,1
3676,KLHL5,brown,1
3677,SET,brown,1
3678,CTCF,brown,1
3679,ANP32E,brown,1
3680,MSANTD4,grey60,4
3681,UGGT1,grey60,4
3682,ATXN1,grey60,4
3683,PDE4B,grey60,4
3684,PARVB,grey60,4
3685,TOX,grey60,4
3686,ASAP1,grey60,4
3687,NAAA,grey60,4
3688,GNAQ,grey60,4
3689,UGT8,grey60,4
3690,RALGAPB,grey60,4
3691,MAPRE2,grey60,4
3692,ITSN2,grey60,4
3693,CRIM1,grey60,4
3694,RABGAP1L,grey60,4
3695,TBL1XR1,grey60,4
3696,ESYT2,grey60,4
3697,LIFR,grey60,4
3698,FCHO2,grey60,4
3699,ARCN1,grey60,4
3700,SOX4,grey60,4
3701,CEBPB,grey60,4
3702,GABRB3,grey60,4
3703,TGFBR2,grey60,4
3704,TMEM30A,grey60,4
3705,KDSR,grey60,4
3706,NDFIP2,grey60,4
3707,OGFRL1,grey60,4
3708,ERGIC2,grey60,4
3709,ATCAY,grey60,4
3710,SPOCK1,grey60,4
3711,MCTP2,grey60,4
3712,ZNFX1,grey60,4
3713,TMEM178B,grey60,4
3714,SMAD7,grey60,4
3715,CNOT6L,grey60,4
3716,GPR137B,grey60,4
3717,COL25A1,grey60,4
3718,MINK1,grey60,4
3719,DDX52,green,1
3720,CASC3,green,1
3721,CEP350,green,1
3722,BAZ1B,green,1
3723,INO80,green,1
3724,IRF4,green,1
3725,ABT1,green,1
3726,TXLNG,green,1
3727,ZNF678,green,1
3728,NAE1,green,1
3729,NXT2,green,1
3730,GAN,green,1
3731,ZNF468,green,1
3732,CENPO,green,1
3733,ENPEP,green,1
3734,MELK,green,1
3735,MAPK6,green,1
3736,MYLK,green,1
3737,NUFIP2,green,1
3738,THOC2,green,1
3739,RFWD3,green,1
3740,SLC38A9,green,1
3741,PIK3CB,green,1
3742,PHACTR4,green,1
3743,E2F7,green,1
3744,RBM14,green,1
3745,ZCCHC14,green,1
3746,PTK7,green,1
3747,ZNF217,green,1
3748,AHCY,green,1
3749,RAB11FIP1,green,1
3750,CNOT7,green,1
3751,METAP2,green,1
3752,CPSF7,green,1
3753,TRMT5,green,1
3754,GXYLT1,green,1
3755,PTGR1,green,1
3756,TNFRSF1B,green,1
3757,ZNF267,green,1
3758,CTDSPL2,green,1
3759,SYNCRIP,green,1
3760,RAB23,green,1
3761,PHF6,green,1
3762,PMPCB,green,1
3763,GPRC5B,green,1
3764,KCTD14,green,1
3765,PPAT,green,1
3766,NTPCR,green,1
3767,LARP4,green,1
3768,GPD2,green,1
3769,COL21A1,green,1
3770,PPP1CC,green,1
3771,SLC2A12,green,1
3772,MKNK2,green,1
3773,CDC25A,green,1
3774,SRSF10,green,1
3775,ZMYM4,green,1
3776,IST1,green,1
3777,PLAGL2,green,1
3778,PAIP2,green,1
3779,MED28,green,1
3780,RGS16,green,1
3781,SELENBP1,green,1
3782,SLC26A6,green,1
3783,PARPBP,green,1
3784,ZNF721,green,1
3785,FGF2,green,1
3786,FLNA,green,1
3787,SMARCAD1,green,1
3788,MAT2A,green,1
3789,FRYL,green,1
3790,C9orf40,green,1
3791,ZNF236,green,1
3792,BZW1,green,1
3793,AASS,green,1
3794,GABPB1,green,1
3795,CCNJ,green,1
3796,E2F3,green,1
3797,LIN28A,green,1
3798,KPNA4,green,1
3799,TNRC6C,green,1
3800,POLR1B,green,1
3801,TP53BP2,green,1
3802,ALG8,green,1
3803,TCEANC2,green,1
3804,ID1,green,1
3805,ZFP36L1,green,1
3806,E2F5,green,1
3807,CAPRIN1,green,1
3808,ZNF726,green,1
3809,PTPN4,green,1
3810,KNOP1,green,1
3811,GTF2H2,green,1
3812,PPIG,green,1
3813,OTUD3,green,1
3814,MKLN1,green,1
3815,CTH,green,1
3816,EML4,green,1
3817,IGF2BP3,green,1
3818,HEATR1,green,1
3819,ZNF626,green,1
3820,TPM2,green,1
3821,NFXL1,green,1
3822,RASSF3,green,1
3823,BLMH,green,1
3824,BRMS1,green,1
3825,COG8,green,1
3826,ZNF738,green,1
3827,RAD21,green,1
3828,DRG2,green,1
3829,CPS1,green,1
3830,HIPK1,green,1
3831,SNTB2,green,1
3832,ITGA5,green,1
3833,PPIL1,green,1
3834,PPM1G,green,1
3835,SEC23IP,green,1
3836,FLOT2,green,1
3837,MTF1,green,1
3838,MDM1,green,1
3839,UBE2V1,green,1
3840,ZFP82,green,1
3841,IPO7,green,1
3842,TOP1,green,1
3843,TTK,green,1
3844,DCP2,green,1
3845,CNOT2,green,1
3846,PANK1,green,1
3847,PKM,green,1
3848,TRIM71,green,1
3849,DHX33,green,1
3850,PRMT7,green,1
3851,NUP50,green,1
3852,MDH1,green,1
3853,PHLDB2,green,1
3854,MDN1,green,1
3855,UBE2I,green,1
3856,FGFR2,green,1
3857,PDGFRA,green,1
3858,FBXO21,green,1
3859,LIN28B,green,1
3860,NR2F6,green,1
3861,MED12L,green,1
3862,KRAS,green,1
3863,TRA2B,green,1
3864,WDR36,green,1
3865,ANKHD1,green,1
3866,SMARCC1,green,1
3867,MED13L,green,1
3868,PDK1,green,1
3869,HJURP,green,1
3870,WNK3,green,1
3871,LSM14A,green,1
3872,PTCH1,green,1
3873,PPP1R13L,green,1
3874,PHLPP2,green,1
3875,CDK12,green,1
3876,USP9X,green,1
3877,GPSM2,green,1
3878,NRAS,green,1
3879,MECOM,green,1
3880,NHLRC2,green,1
3881,MOCS1,green,1
3882,GART,green,1
3883,TLK1,green,1
3884,FUT4,green,1
3885,PHF13,green,1
3886,CASZ1,green,1
3887,DTX2,green,1
3888,MEX3B,green,1
3889,UPF2,green,1
3890,NR6A1,green,1
3891,ARL6IP6,green,1
3892,BRCA1,green,1
3893,FUT9,green,1
3894,TMEM184A,green,1
3895,TSTD2,green,1
3896,RNGTT,green,1
3897,ING5,green,1
3898,HIF1AN,green,1
3899,PTBP1,green,1
3900,HCFC1,green,1
3901,FAM104A,green,1
3902,CCNYL1,green,1
3903,UBAP2L,green,1
3904,CCDC71L,green,1
3905,SYMPK,green,1
3906,IRX2,green,1
3907,SAPCD2,green,1
3908,SP1,green,1
3909,VWDE,green,1
3910,MAPRE1,green,1
3911,PAQR3,green,1
3912,SCML2,green,1
3913,UBP1,green,1
3914,DNMT1,green,1
3915,DUSP5,green,1
3916,HDHD2,green,1
3917,NFYB,green,1
3918,ARID3A,green,1
3919,EP300,green,1
3920,RBBP6,green,1
3921,CBX5,green,1
3922,MYBL2,green,1
3923,DBF4B,green,1
3924,PSMD2,green,1
3925,PRTG,green,1
3926,FBXO24,green,1
3927,STRBP,green,1
3928,PHB,green,1
3929,RRP15,green,1
3930,SKP2,green,1
3931,HSPA14,green,1
3932,RPIA,green,1
3933,KNTC1,green,1
3934,UBE2D3,green,1
3935,CSNK2A1,green,1
3936,COIL,green,1
3937,FGD6,green,1
3938,ZNF730,green,1
3939,PSMA3,green,1
3940,MGA,green,1
3941,CENPJ,green,1
3942,DPH6,green,1
3943,OSBPL11,green,1
3944,TXNRD1,green,1
3945,GGCT,green,1
3946,PPP4R2,green,1
3947,ZNF430,green,1
3948,GDAP2,green,1
3949,TFDP2,green,1
3950,RAB27A,green,1
3951,MYH9,green,1
3952,GDF6,green,1
3953,MYB,green,1
3954,IBA57,green,1
3955,U2SURP,green,1
3956,PLCH1,green,1
3957,DVL2,green,1
3958,CHTF8,green,1
3959,FASTKD5,green,1
3960,WAC,green,1
3961,EIF2S2,green,1
3962,RMND5A,green,1
3963,PRPF19,green,1
3964,BMP2K,green,1
3965,COL4A6,green,1
3966,DUS1L,green,1
3967,ZNF253,green,1
3968,RMI1,green,1
3969,CDK13,green,1
3970,VAC14,green,1
3971,DYRK2,green,1
3972,MSI1,green,1
3973,CEP57,green,1
3974,RYK,green,1
3975,STK35,green,1
3976,CEP192,green,1
3977,KDM3B,green,1
3978,ROBO1,green,1
3979,NASP,green,1
3980,CKS2,green,1
3981,PTPN2,green,1
3982,ZIC5,green,1
3983,DCUN1D1,green,1
3984,DDX11,green,1
3985,ZNF138,green,1
3986,SHE,green,1
3987,ARID3B,green,1
3988,NACC1,green,1
3989,MAP3K4,green,1
3990,GRIN2D,green,1
3991,KPNB1,green,1
3992,PHF8,green,1
3993,RBM27,green,1
3994,DNMT3A,green,1
3995,TMUB1,green,1
3996,FGFR3,green,1
3997,NUDT21,green,1
3998,ARGLU1,green,1
3999,DHX35,green,1
4000,ENAH,green,1
4001,GNG5,green,1
4002,NAA15,green,1
4003,RHNO1,green,1
4004,GPT2,green,1
4005,PSPC1,green,1
4006,DEPDC1,green,1
4007,ZNF681,green,1
4008,TGIF2,green,1
4009,METTL3,green,1
4010,ZNF765,green,1
4011,ROR1,green,1
4012,PRRC2B,green,1
4013,GLYR1,green,1
4014,FSBP,green,1
4015,LIMK1,green,1
4016,BCAT1,green,1
4017,TOR3A,green,1
4018,ZNF708,green,1
4019,ZNF28,green,1
4020,LRIG1,green,1
4021,PARD3,green,1
4022,PECR,green,1
4023,FZD6,green,1
4024,ERG,green,1
4025,TRIM45,green,1
4026,KATNBL1,green,1
4027,FBXO33,green,1
4028,PRRC2C,green,1
4029,PABPC4L,green,1
4030,MOSPD1,green,1
4031,EIF3A,green,1
4032,TRIM37,green,1
4033,NEUROD1,green,1
4034,IPO9,green,1
4035,MAP3K7,green,1
4036,ZNF207,green,1
4037,IGF2BP1,green,1
4038,AZIN1,green,1
4039,CERS2,green,1
4040,MSL2,green,1
4041,ASAP2,green,1
4042,CCNG1,green,1
4043,UBN1,green,1
4044,SECISBP2,green,1
4045,MAK16,green,1
4046,GGA2,green,1
4047,ARPP19,green,1
4048,ZNF701,green,1
4049,ZNF525,green,1
4050,ZNF346,green,1
4051,SH3RF1,green,1
4052,USP44,green,1
4053,MCM2,green,1
4054,MIA3,green,1
4055,PPIF,green,1
4056,MEST,green,1
4057,MYSM1,green,1
4058,WDR35,green,1
4059,TYW3,green,1
4060,DOT1L,green,1
4061,KBTBD8,green,1
4062,AKIRIN1,green,1
4063,HNRNPM,green,1
4064,CSRP2,green,1
4065,CNOT3,green,1
4066,ZNF561,green,1
4067,ZNF281,green,1
4068,ZNF232,green,1
4069,ATP11C,green,1
4070,JMJD1C,green,1
4071,TBC1D1,green,1
4072,ZNF385A,green,1
4073,ZNF367,green,1
4074,CTTNBP2,green,1
4075,OTX2,green,1
4076,CRKL,green,1
4077,GCA,green,1
4078,CCDC138,green,1
4079,SPTY2D1,green,1
4080,LONRF1,green,1
4081,SMIM3,green,1
4082,KDM6A,green,1
4083,TBC1D31,green,1
4084,SLC7A11,green,1
4085,CTPS2,green,1
4086,TCF4,green,1
4087,SLC44A1,green,1
4088,PDE3A,green,1
4089,RAPGEF5,green,1
4090,PCDHA3,green,1
4091,CMKLR1,green,1
4092,XPO4,green,1
4093,AMMECR1L,green,1
4094,MPP6,green,1
4095,WWC1,green,1
4096,PAPOLG,green,1
4097,XKR8,green,1
4098,PGAP2,green,1
4099,STARD7,green,1
4100,UBA5,green,1
4101,STK24,green,1
4102,ALDH4A1,green,1
4103,BCL9,green,1
4104,ZBTB44,green,1
4105,RAVER1,green,1
4106,BRWD3,green,1
4107,SIPA1L1,green,1
4108,SLC39A10,green,1
4109,ZCCHC9,green,1
4110,LAS1L,green,1
4111,NAP1L1,green,1
4112,CNIH4,green,1
4113,SFMBT1,green,1
4114,GCC2,green,1
4115,GNPDA1,green,1
4116,PCBP1,green,1
4117,QSER1,green,1
4118,FRAS1,green,1
4119,EXOSC3,green,1
4120,AHCTF1,green,1
4121,MAPKAPK3,green,1
4122,ZNF273,green,1
4123,TNPO1,green,1
4124,RAP2B,green,1
4125,LFNG,green,1
4126,KIF22,green,1
4127,AQR,green,1
4128,DCAF17,green,1
4129,YOD1,green,1
4130,STK11,green,1
4131,INTS2,green,1
4132,TNRC6A,green,1
4133,CD34,green,1
4134,PTAR1,green,1
4135,RUVBL2,green,1
4136,ADAMTS20,green,1
4137,SS18,green,1
4138,ZNF614,green,1
4139,RANBP2,green,1
4140,THAP11,green,1
4141,EDRF1,green,1
4142,GPBP1,green,1
4143,LBR,green,1
4144,TMEM123,green,1
4145,DDX3X,green,1
4146,BRPF1,green,1
4147,RFXANK,green,1
4148,MED1,green,1
4149,NXN,green,1
4150,PAN2,green,1
4151,EXTL2,green,1
4152,MYO5C,green,1
4153,CEP128,green,1
4154,RYBP,green,1
4155,SLC35A4,green,1
4156,RLF,green,1
4157,ZBTB18,green,1
4158,MTF2,green,1
4159,G3BP1,green,1
4160,TRIM33,green,1
4161,JADE1,green,1
4162,SIX4,green,1
4163,GFPT2,green,1
4164,SRP9,green,1
4165,ABHD17B,green,1
4166,ENPP5,green,1
4167,CREB1,green,1
4168,TDG,green,1
4169,RFT1,green,1
4170,STRAP,green,1
4171,MBTD1,green,1
4172,ZNF462,green,1
4173,MRPL11,green,1
4174,TGIF1,green,1
4175,TOMM34,green,1
4176,PSMD3,green,1
4177,PUS7,green,1
4178,SFT2D1,green,1
4179,VPS37C,green,1
4180,KIAA1324L,green,1
4181,CDH5,green,1
4182,CALD1,green,1
4183,SLC38A1,green,1
4184,RCOR1,green,1
4185,HDGF,green,1
4186,CAND1,green,1
4187,CPSF4,green,1
4188,BRCA2,green,1
4189,CLOCK,green,1
4190,HNRNPA2B1,green,1
4191,CENPQ,green,1
4192,TMPO,green,1
4193,ADAMTS6,green,1
4194,CUL3,green,1
4195,SMCHD1,green,1
4196,HELLS,green,1
4197,REV1,green,1
4198,COL4A4,green,1
4199,DDI2,green,1
4200,JADE3,green,1
4201,RNF135,green,1
4202,CHD7,green,1
4203,NEURL1B,green,1
4204,ZNF543,green,1
4205,BAK1,green,1
4206,DROSHA,green,1
4207,CPSF6,green,1
4208,PTP4A2,green,1
4209,ZBTB26,green,1
4210,SALL1,green,1
4211,PKP4,green,1
4212,SLC25A15,green,1
4213,PMS1,green,1
4214,TNFAIP8,green,1
4215,ROCK1,green,1
4216,ING3,green,1
4217,NAMPT,green,1
4218,EIF2S3,green,1
4219,PLEKHJ1,green,1
4220,RNF169,green,1
4221,UBA2,green,1
4222,ZBTB39,green,1
4223,PRPF4B,green,1
4224,DR1,green,1
4225,CDC42SE2,green,1
4226,SALL4,green,1
4227,SSX2IP,green,1
4228,STK4,green,1
4229,MFHAS1,green,1
4230,ZCCHC4,green,1
4231,MIER2,green,1
4232,RBL1,green,1
4233,ASTE1,green,1
4234,TFAP2C,green,1
4235,SERBP1,green,1
4236,WNK1,green,1
4237,XPO1,green,1
4238,PRR14L,green,1
4239,SUB1,green,1
4240,UHRF1BP1,green,1
4241,YAP1,green,1
4242,SNRPC,green,1
4243,PAQR5,green,1
4244,SNW1,green,1
4245,MYCN,green,1
4246,HNRNPA1,green,1
4247,ACAA2,green,1
4248,CIPC,green,1
4249,CNTRL,green,1
4250,MND1,green,1
4251,MATN3,green,1
4252,POLR3D,green,1
4253,CCDC71,green,1
4254,RFC5,green,1
4255,SERP1,green,1
4256,PRDM10,green,1
4257,ACTG2,green,1
4258,C2orf69,green,1
4259,CCNF,green,1
4260,PCDH19,green,1
4261,HNRNPUL1,green,1
4262,LYPLA1,green,1
4263,ACTB,green,1
4264,NEK2,green,1
4265,C4orf46,green,1
4266,COPG2,green,1
4267,LRRC17,green,1
4268,DNA2,green,1
4269,TTC26,green,1
4270,USP7,green,1
4271,DCAF16,green,1
4272,RPF1,green,1
4273,PRPF38B,green,1
4274,TMEM164,green,1
4275,PGM2,green,1
4276,ACVR2B,green,1
4277,ZWINT,green,1
4278,PCTP,green,1
4279,GCDH,green,1
4280,PHF3,green,1
4281,GPATCH2L,green,1
4282,IKZF1,green,1
4283,MRPL32,green,1
4284,LRBA,green,1
4285,RBM12,green,1
4286,ZNF107,green,1
4287,GATA2,green,1
4288,PPP4C,green,1
4289,ORC3,green,1
4290,LRAT,green,1
4291,KIF18A,green,1
4292,UTP18,green,1
4293,KIAA1958,green,1
4294,ZSCAN29,green,1
4295,SMG1,green,1
4296,GOLPH3L,green,1
4297,SPAG5,green,1
4298,ZNF689,green,1
4299,ELAVL1,green,1
4300,FAM78A,green,1
4301,INTS7,green,1
4302,IGDCC3,green,1
4303,MYH10,green,1
4304,NCKAP1,green,1
4305,ING1,green,1
4306,FAM111B,green,1
4307,AK4,green,1
4308,MLLT10,green,1
4309,SUV39H1,green,1
4310,PLAU,green,1
4311,FAM133B,green,1
4312,ZFP62,green,1
4313,ZFC3H1,green,1
4314,CNTLN,green,1
4315,SNIP1,green,1
4316,FBXO30,green,1
4317,CECR2,green,1
4318,TTC31,green,1
4319,EYA3,green,1
4320,GEN1,green,1
4321,RNF182,green,1
4322,PNRC2,green,1
4323,PSTPIP2,green,1
4324,CEP85,green,1
4325,REPS1,green,1
4326,DRAM2,green,1
4327,LCA5,green,1
4328,MTRR,green,1
4329,SFXN2,green,1
4330,SZRD1,green,1
4331,PDLIM5,green,1
4332,LCORL,green,1
4333,NLN,green,1
4334,UBR5,green,1
4335,USP46,green,1
4336,PSKH1,green,1
4337,RRM1,green,1
4338,CARM1,green,1
4339,CSNK2A2,green,1
4340,ELL2,green,1
4341,AURKA,green,1
4342,ZNF616,green,1
4343,BAG2,green,1
4344,BTAF1,green,1
4345,HIP1,green,1
4346,PPP4R1,green,1
4347,GALNT7,green,1
4348,ZNF254,green,1
4349,GTF3C3,green,1
4350,MYO10,green,1
4351,STK25,green,1
4352,WDHD1,green,1
4353,ZNF714,green,1
4354,ARF5,green,1
4355,C16orf87,green,1
4356,CHEK1,green,1
4357,TIMM9,green,1
4358,PDE7A,green,1
4359,ZBED4,green,1
4360,THOC1,green,1
4361,ORC2,green,1
4362,CDC14A,green,1
4363,SMARCA1,green,1
4364,MTX3,green,1
4365,UHRF2,green,1
4366,PHGDH,green,1
4367,ZNF710,green,1
4368,HNF4G,green,1
4369,PI4K2B,green,1
4370,RPRD1A,green,1
4371,SIKE1,green,1
4372,CSDE1,green,1
4373,NUP153,green,1
4374,SEMA6A,green,1
4375,NCAPD2,green,1
4376,SLC16A10,green,1
4377,DESI2,green,1
4378,NRBF2,green,1
4379,SMC1A,green,1
4380,SORD,green,1
4381,SUCO,green,1
4382,PDGFC,green,1
4383,CGN,green,1
4384,SHPRH,green,1
4385,BRD8,green,1
4386,ZNF43,green,1
4387,RPL14,green,1
4388,RBPMS2,green,1
4389,POLE3,green,1
4390,MEPCE,green,1
4391,TRIAP1,green,1
4392,ARID2,green,1
4393,CNOT6,green,1
4394,AGO1,green,1
4395,AP3B1,green,1
4396,NET1,green,1
4397,SMC3,green,1
4398,CSPP1,green,1
4399,TET1,green,1
4400,PAWR,green,1
4401,CEP152,green,1
4402,IRS1,green,1
4403,OTUD4,green,1
4404,BLM,green,1
4405,SIRT1,green,1
4406,DMKN,green,1
4407,TTLL4,green,1
4408,PARD6B,green,1
4409,EZH2,green,1
4410,CCDC88A,green,1
4411,SDC1,green,1
4412,ATF1,green,1
4413,KMT2D,green,1
4414,TRABD,green,1
4415,PHF20,green,1
4416,POU2F1,green,1
4417,FAM126A,green,1
4418,TWIST1,green,1
4419,SPIDR,green,1
4420,MIER3,green,1
4421,NSD1,green,1
4422,ADCY3,green,1
4423,YWHAE,green,1
4424,FAM161A,green,1
4425,ATRIP,green,1
4426,SMARCD1,green,1
4427,ZNF850,green,1
4428,HMGXB4,green,1
4429,GMPS,green,1
4430,GSPT1,green,1
4431,SLC20A1,green,1
4432,ACVR1C,green,1
4433,HNRNPDL,green,1
4434,CELF1,green,1
4435,IRAK1,green,1
4436,SRRT,green,1
4437,BMF,green,1
4438,ZNF620,green,1
4439,RBBP5,green,1
4440,PABPC4,green,1
4441,KIAA1671,green,1
4442,PLEKHA8,green,1
4443,SIK3,green,1
4444,AEBP2,green,1
4445,SEC14L1,green,1
4446,PREX2,green,1
4447,UNC5D,green,1
4448,C8orf88,green,1
