"","AD2_1.1","AD2_1.2","AD2_1.3","AD2_5.1","AD2_5.2","AD2_5.3","AD2_9.1","AD2_9.2","AD2_9.3","AD2_16.1","AD2_16.2","AD2_16.3","AD2_26.1","AD2_26.2","AD2_26.3","AD2_36.1","AD2_36.2","AD2_36.3"
"hsa-let-7a-2-3p",-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,0.660450465847502,1.51302508372225,2.28476055953075,0.8956652474471,2.33140916980986,1.96354723498904,1.67548807227645,2.28343136683049
"hsa-let-7a-3p",3.99230138399563,3.59666317132647,4.97384528895721,-0.625549074153663,1.56947218393987,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,1.04554871933756,-0.625549074153663,0.680310706108887,-0.625549074153663,2.36868475330131,2.02072779633536,3.70201540288409,3.51181986901272,3.09826481757713
"hsa-let-7a-5p",8.0263500746514,7.57100851821378,8.20210198280075,4.94613800937875,4.63521132577199,4.55407519604678,1.86032012545752,2.02537170543792,2.4212497367615,3.45568380812906,2.62729938442716,3.44879129659817,4.84559136172268,4.09343660259651,5.77531459279451,7.56450319223215,7.71051904044158,7.32908296406099
"hsa-let-7b-3p",-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,1.03282876696542,1.96354723498904,1.53133461293509,2.28343136683049
"hsa-let-7b-5p",6.88815868470822,7.27190235985649,7.16775377640725,4.32743848808695,3.80306521765071,4.32056767440918,-0.625549074153663,2.02537170543792,-0.625549074153663,2.35030495650881,2.49106086637995,2.37674479307595,5.88207615557368,5.2028974801045,6.50880885441989,9.35288325701815,9.28350087575094,9.05658418995669
"hsa-let-7c-3p",1.70468804808359,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,0.919082052410772,-0.625549074153663,-0.625549074153663,2.03847139847767,2.49106086637995,2.37674479307595,4.15014162267906,3.42445145996224,4.12992249585238,4.82768005394839,5.22979511436135,5.15674277164467
"hsa-let-7c-5p",7.10099485888749,6.71437345474377,7.08281636723751,5.28124481134094,5.23068520574996,5.13704125260417,4.54414846286524,5.42676811640372,4.9189358144836,8.22170905490477,8.20464306386885,8.30182276940475,10.8879169930045,10.2668131905358,12.0588149341044,13.1542952214611,13.3770506654874,13.0988809021611
"hsa-let-7d-3p",3.99230138399563,4.31116561527626,2.74720649961431,3.58554483741803,2.27375651977023,2.82427895657881,3.2356089575781,2.80568522752608,2.75532356558232,4.30235768472691,4.50648179438517,3.89798061927282,5.09796557189593,5.17160940822849,5.33778046679679,7.98567585969849,7.84757624528331,8.11822508929435
"hsa-let-7d-5p",6.25941350336783,5.75277655161808,6.00706644359945,4.42093954443645,4.63521132577199,4.75495708294792,4.26626052553097,4.42098700754352,3.91296091230249,5.49176801498755,5.294186785977,5.21290624715102,7.76416824073484,7.19615916764004,8.04399171813867,10.3614001958525,10.4791961161689,10.7706930532492
"hsa-let-7e-3p",2.43371861701426,2.55306619516587,-0.625549074153663,-0.625549074153663,0.994236336564674,2.23712818571401,2.6154827057174,-0.625549074153663,3.02540854995797,4.78174131490537,4.87449764363229,5.12162357631252,6.22003588291719,6.12959498783993,6.24379625514288,6.87019779826113,7.21503638271922,7.14742859009415
"hsa-let-7e-5p",8.71328698724179,8.30168797619816,8.54674568451907,7.33184160269574,7.37757709705593,7.45526137492595,7.06184612513691,7.31808135711854,7.5187342814547,11.0654852438856,11.1099905472253,11.2979369228751,13.2527501144484,12.6805592944791,14.2268189173854,14.8853695779988,15.1553968392018,14.8298977793077
"hsa-let-7f-1-3p",-0.625549074153663,1.42656891452883,2.74720649961431,1.95373647984228,1.96665658076691,1.81354609416839,-0.625549074153663,-0.625549074153663,-0.625549074153663,1.04554871933756,0.660450465847502,1.78564969899195,-0.625549074153663,1.82690244913313,2.02072779633536,2.73473605884708,3.77951127048826,3.42879959267944
"hsa-let-7f-2-3p",-0.625549074153663,2.89372588366082,2.74720649961431,1.30400318947765,1.96665658076691,-0.625549074153663,2.16006120611348,2.02537170543792,3.25234489149225,1.04554871933756,-0.625549074153663,2.9052924375854,3.09975773613941,2.57665790533599,3.4339894736653,3.70201540288409,4.4693492654011,3.92316623754302
"hsa-let-7f-5p",3.99230138399563,4.06621064445583,5.20584087245993,4.66974702809563,4.20935552810553,4.55407519604678,3.75664892273133,2.80568522752608,3.91296091230249,5.55275867265027,5.55276041127431,5.52931745798135,7.9358397664794,7.54635457265978,8.31019463882005,10.4014794400882,10.5672884875335,10.1396170530389
"hsa-let-7g-3p",-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,-0.625549074153663,1.57872063587396,1.44460016989488,-0.625549074153663,2.27043797578059,1.53133461293509,0.843013586751989
