"","840_1.1","840_1.2","840_1.3","840_5.1","840_5.2","840_5.3","840_9.1","840_9.2","840_9.3","840_16.1","840_16.2","840_16.3","840_26.1","840_26.2","840_26.3","840_36.1","840_36.2","840_36.3"
"hsa-let-7a-2-3p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,0.748840795952385,-0.626589465131677,1.65728665952028,1.70668493744661,-0.626589465131677,2.59341203296504,2.71685643814559,1.99675487966235
"hsa-let-7a-3p",2.90522674701662,1.51374479895983,1.21483283672451,1.1944370848782,0.894534079701416,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,1.36011829198249,-0.626589465131677,-0.626589465131677,1.06395533223925,1.3377544551744,-0.626589465131677,3.90770239756437,2.71685643814559,3.79372866078965
"hsa-let-7a-5p",5.02424179533902,5.00038129976785,4.97470154084936,3.05374229178898,3.52600317941915,2.78892655569344,1.89883778391949,2.50238123744175,3.06336697544303,4.87110719508835,5.07260587694786,5.02153659892483,6.04490071229524,6.26284005260532,6.03033530718528,7.27790783344861,7.88494146804635,7.94460394019762
"hsa-let-7b-3p",-0.626589465131677,-0.626589465131677,2.27140131546681,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,2.21420189446539,2.71685643814559,2.77304123088769
"hsa-let-7b-5p",4.07898975680835,4.44362221106723,4.73419279755073,3.82852080417612,3.31253920453029,2.78892655569344,2.66026118900756,2.50238123744175,2.52344353109588,3.19257955073728,2.65680144983727,3.05930614343667,6.02297079215325,5.97285371201267,5.51232320164975,9.15698925506367,9.34231413662064,9.4542464825567
"hsa-let-7c-3p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,0.821817080504968,0.750727471249732,-0.626589465131677,-0.626589465131677,2.02229359076,0.748840795952385,1.34990406364357,4.18609063408959,3.46524647109477,2.96589480714372,4.49667664992446,3.8702356973244,3.27114331163593
"hsa-let-7c-5p",7.0163295696069,7.17673394855471,7.22581566548302,6.55813080574413,6.51202705670917,6.3976050639667,5.96342381221018,6.77801618479142,6.91810326331352,9.28235320733335,9.12552802328852,9.28506070761651,12.6928565705893,12.666503813818,12.5474202528748,13.006089038693,13.0937634246424,13.2369066379292
"hsa-let-7d-3p",4.6277956381911,4.74872609172476,4.59699215808598,2.83162689670031,3.19254172056802,3.5733140633168,3.8712885429547,3.20957029708044,3.6897431760303,3.75086313832424,3.59098152556757,4.19298263287133,4.8160916277643,4.93747234868689,4.60157575669077,7.77536724129339,8.11086142171612,8.03210407200643
"hsa-let-7d-5p",6.0979834703111,5.4581549885793,6.02750243413382,4.5625685435488,4.93000694624228,4.81985559037803,4.8081628048988,4.55469290865139,4.83000983150203,5.32308115587616,5.25156315353902,5.35729587195786,7.46412192760672,7.5487922553354,7.18846950981227,10.5688936065803,9.88309678356599,10.0092112205691
"hsa-let-7e-3p",2.11249006107122,3.29095389510463,2.5974026575523,1.81944848864459,1.44344418972785,-0.626589465131677,1.25895445053641,2.25193026781086,1.63239475142263,4.41730168970707,4.34448645431432,4.58303360743327,5.52676502107008,5.63002283736607,5.51232320164975,6.39957092254892,6.06044240197863,6.18404124216918
"hsa-let-7e-5p",9.44788214812219,10.0164492125631,9.81202750682488,8.60992337105912,8.41227083918934,8.56520817506767,7.95949798146512,8.62609597426968,8.87505582538644,12.0134322618054,11.952598261966,11.882776096829,13.9700510873089,14.0519340890852,13.8829543261881,14.1012638727979,14.2963112241302,14.2981671159783
"hsa-let-7f-1-3p",2.11249006107122,2.20745411447016,2.27140131546681,2.2437314451221,0.894534079701416,-0.626589465131677,-0.626589465131677,-0.626589465131677,1.63239475142263,1.73193436716828,1.61469344716594,2.00988464645655,1.65728665952028,1.70668493744661,1.47911161507014,2.89187264261193,3.211683352963,2.77304123088769
"hsa-let-7f-2-3p",-0.626589465131677,-0.626589465131677,2.5974026575523,1.81944848864459,1.44344418972785,2.24943346563547,1.61746118931984,1.55098373493909,2.52344353109588,1.36011829198249,1.895846269831,2.00988464645655,2.85054033428451,2.61361785156608,2.96589480714372,4.73879589690237,4.41353848105961,4.80153063025
"hsa-let-7f-5p",4.71629027484838,5.40100535659286,4.91823134491465,5.04644984352884,4.85326089179178,4.62607436145952,3.99184135820019,4.65997489526414,5.09871436002215,6.78603932655623,6.65729888232222,7.16093165624036,8.54982463325984,8.66056125470787,9.02357075310935,9.93713848863249,10.4809467225343,10.6568795338116
"hsa-let-7g-3p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,1.65728665952028,-0.626589465131677,2.96589480714372,2.21420189446539,-0.626589465131677,1.33910766869264
"hsa-let-7g-5p",9.65505260352989,9.99247400517229,9.8671153541522,9.30080838761811,9.19704830752203,9.22578700365473,9.11659400220405,9.34087723004458,9.52224607617907,9.94403783565409,9.81581913119289,10.1990635600097,13.2974822386327,13.3140122721238,13.2357810425919,15.3080097683443,15.2613649938273,15.4580552291889
