"","ensembl_gene_id_version","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","840_1.1","840_1.2","840_1.3","840_5.1","840_5.2","840_5.3","840_9.1","840_9.2","840_9.3","840_16.1","840_16.2","840_16.3","840_26.1","840_26.2","840_26.3","840_36.1","840_36.2","840_36.3"
"1","hsa-let-7a-3p",5.27803989675464,-3.18361060716069,0.795066253692948,57.8521049907178,3.37437125537769e-11,8.09200183741533e-11,14.6448994456504,10.8361009789767,30.1421200291643,0,1.81316953077307,0,0,0,0,0.971340820057002,0,0.56831177434013,0,3.94970074762056,2.8650722212193,11.7501423133176,10.1472667942164,7.31659348624811
"2","hsa-let-7a-5p",83.5011795886451,-3.12028936273501,0.344635321779455,367.68947234496,2.71534328728617e-77,1.86045773584937e-76,259.423933037235,188.857759919308,293.200622101871,29.5446117857551,23.5712039000499,22.2131726545284,2.45024581842969,2.87782251105083,4.13843765287232,9.71340820057002,4.95033344467262,9.66130016378221,27.4702850366483,15.7988029904822,53.4813481294269,188.002277013081,208.163930235639,159.501738000209
"3","hsa-let-7b-5p",137.050145498843,-2.91823758882976,0.334608616258458,815.426591971946,5.31934646676881e-174,7.89669648102465e-173,117.159195565203,153.253428131242,142.49002195605,18.8011165909351,12.6921867154115,18.7058296038134,0,2.87782251105083,0,3.88536328022801,4.40029639526455,3.97818242038091,57.6875985769615,35.547306728585,89.772262931538,652.584826939637,621.882493531261,531.184687101613
"4","hsa-let-7c-3p",8.56345452282897,-1.52443327178411,0.881132566045915,137.434690764927,6.27833524460145e-28,2.16872134349529e-27,2.09212849223577,0,0,0,0,0,0.81674860614323,0,0,2.91402246017101,4.40029639526455,3.97818242038091,16.482171021989,9.47928179428935,16.235409253576,27.1157130307328,36.2402385507728,34.3879893853661
"5","hsa-let-7c-5p",2077.44394491141,-1.75689528205238,0.347548760373752,908.554689413258,3.7465763314246e-194,6.48886206289788e-193,135.988351995325,103.716966513063,134.269443766277,37.6022331818701,36.2633906154614,33.9043161569118,22.0522123658672,41.7284264102371,28.9690635701062,297.230290937443,293.719784383909,314.276411210092,1893.61831519296,1230.72675295857,4265.13751332179,9115.39886383135,10637.5247413312,8771.86393066286
"6","hsa-let-7d-3p",55.3646490732951,-1.08233767051385,0.468437029123688,642.76642255559,1.1586939967485e-136,1.30170397652737e-135,14.6448994456504,18.5761731068172,5.48038545984806,10.74349519482,3.62633906154614,5.84557175119168,8.1674860614323,5.75564502210167,5.51791687049642,18.455475581083,21.4514449269147,13.6394825841631,32.964342043978,34.7573665790609,39.1559870233304,252.176131185815,229.038307640884,276.567233780178
"7","hsa-let-7d-5p",307.774297657131,-1.40778914996648,0.300490613810147,1303.19219705829,1.29939404229041e-279,3.37571743903362e-278,75.3166257204876,52.6324904693153,63.0244327882527,20.1440534902876,23.5712039000499,25.7205157052434,17.9684693351511,20.1447575773558,13.7947921762411,43.7103369025651,37.9525564091568,35.8036417834282,216.099575621633,145.348987512437,262.631620278436,1314.20822488952,1426.12586745001,1745.7392058188
"8","hsa-let-7e-3p",40.7095555376927,-1.21295933978333,0.722780271806151,475.519978613541,1.53270158325648e-100,1.34597103825411e-99,4.18425698447153,4.64404327670429,0,0,0.906584765386535,3.50734305071501,4.90049163685938,0,6.89739608812053,26.2262021415391,28.0518895198115,33.5303946860677,73.2540934310622,68.7247930085977,74.4918777517017,115.693708931127,147.280329470341,140.478594935964
"9","hsa-let-7e-5p",7795.48287349291,-1.15079000580349,0.277244982064014,1146.96597960985,9.01118937464522e-246,2.00659877681832e-244,418.425698447153,314.246928390324,372.666211269668,159.809491022948,164.998427300349,174.198038185512,132.313274195203,158.280238107796,182.091256726382,2141.80650822569,2208.94879042281,2516.4845367781,9759.27659735326,6563.61270239585,19172.1082803258,30263.8473136009,36493.3403768114,29122.2370533133
"10","hsa-let-7f-1-3p",2.84461836206164,0.385195317154757,0.797706025248021,24.1433785767983,0.000203762296429321,0.000364028056801381,0,1.5480144255681,5.48038545984806,2.68587379870501,2.7197542961596,2.33822870047667,0,0,0,0.971340820057002,0.550037049408069,2.27324709736052,0,2.36982044857234,2.8650722212193,5.42314260614656,12.4666420614658,9.51157153212254
"11","hsa-let-7f-2-3p",5.86227418093789,-1.14074887009879,0.80523927495843,18.5142728620814,0.00236636415570616,0.00390324881238833,0,6.19205770227239,5.48038545984806,1.3429368993525,2.7197542961596,0,3.26699442457292,2.87782251105083,8.27687530574463,0.971340820057002,0,6.25142951774143,7.32540934310622,4.73964089714467,9.55024073739766,11.7501423133176,20.8743774052451,13.9015276238714
"12","hsa-let-7f-5p",279.816959603135,-0.0251670722297663,0.362249841358182,1279.62003233094,1.66149350002978e-274,4.22833141742274e-273,14.6448994456504,15.480144255681,35.6225054890124,24.1728641883451,17.2251105423442,22.2131726545284,12.2512290921484,5.75564502210167,13.7947921762411,45.6530185426791,45.6530751008697,44.8966301728703,243.569860658282,185.635935138166,316.112968407862,1351.26636603152,1516.00165905593,1126.75539688221
"13","hsa-let-7g-5p",9063.90903723015,-0.965597171845993,0.171131176643544,3227.05648936425,0,0,675.757502992153,580.505409588037,819.317626247285,374.679394919349,326.370515539153,357.748991172931,289.129006574703,343.899790070575,293.829073353934,729.476955862808,736.499609157405,778.587130845978,9271.22119986881,6499.62755028439,10168.1413131073,43076.0217206222,48107.0321837462,39722.5176961896
