genes;day
TM7SF3;Day 0
TSPAN32;Day 0
NGFR;Day 0
HIPK2;Day 0
TNPO3;Day 0
LPAR2;Day 0
SUGP2;Day 0
ABCA7;Day 0
SNCAIP;Day 0
BTBD1;Day 0
ZNF76;Day 0
GNAI3;Day 0
IPO5;Day 0
OAT;Day 0
WDR18;Day 0
TRAM2;Day 0
NTN1;Day 0
ERBB3;Day 0
KARS;Day 0
SPEN;Day 0
MYLK;Day 0
ZC3H15;Day 0
SLK;Day 0
PRKCQ;Day 0
ASB1;Day 0
FAM107B;Day 0
ME1;Day 0
MTHFD2;Day 0
TIE1;Day 0
KDM4A;Day 0
NFYC;Day 0
SLC9A3;Day 0
FGFR2;Day 0
THUMPD1;Day 0
FECH;Day 0
DDX3Y;Day 0
IDI1;Day 0
PLPP1;Day 0
TRAM1;Day 0
TNFRSF1A;Day 0
EVI5;Day 0
STOML1;Day 0
PKM;Day 0
DHX29;Day 0
DNTTIP2;Day 0
ZFY;Day 0
IARS2;Day 0
NAV3;Day 0
IDH3G;Day 0
PDZD4;Day 0
ROCK1;Day 0
PDK3;Day 0
FGFR3;Day 0
HEATR6;Day 0
PLEKHH3;Day 0
ACSL4;Day 0
PRR11;Day 0
ATP11A;Day 0
KIF2A;Day 0
RASGRP2;Day 0
PYGM;Day 0
SDK2;Day 0
NUCKS1;Day 0
DNAJA2;Day 0
BCL3;Day 0
KCNAB2;Day 0
GAL;Day 0
RORA;Day 0
ATP1B3;Day 0
MAPK6;Day 0
RAB27A;Day 0
HDHD5;Day 0
PHRF1;Day 0
PTPN3;Day 0
SLC44A1;Day 0
EXOC5;Day 0
DGCR2;Day 0
RNF126;Day 0
MNT;Day 0
JMJD6;Day 0
WIPI1;Day 0
GBA2;Day 0
NDST1;Day 0
ASNS;Day 0
PABPC1;Day 0
CSNK2A2;Day 0
TCOF1;Day 0
CDC42;Day 0
ATP2B1;Day 0
MAP4K4;Day 0
RPS6KA2;Day 0
VASH1;Day 0
LMCD1;Day 0
BUD23;Day 0
ATP6AP1;Day 0
TCF3;Day 0
TRIB2;Day 0
DAZAP1;Day 0
MBD3;Day 0
HLTF;Day 0
FAM3A;Day 0
SLC6A15;Day 0
RDH11;Day 0
PTPN18;Day 0
SPEG;Day 0
LNX1;Day 0
ALDH3A2;Day 0
TFRC;Day 0
SREBF1;Day 0
TRPC5;Day 0
MARK2;Day 0
P4HA2;Day 0
TRNT1;Day 0
ACADVL;Day 0
STK10;Day 0
FBXW11;Day 0
CRMP1;Day 0
EVC;Day 0
MRVI1;Day 0
AP1M1;Day 0
XRCC1;Day 0
SCARB1;Day 0
PANX2;Day 0
LLGL2;Day 0
SDHA;Day 0
GSDMB;Day 0
FERMT2;Day 0
IGF2BP2;Day 0
MAP3K13;Day 0
ST6GAL1;Day 0
FRY;Day 0
MRPS34;Day 0
NOTCH3;Day 0
NCBP3;Day 0
ATP2A3;Day 0
CA12;Day 0
NUAK1;Day 0
ZNF532;Day 0
HACD3;Day 0
SLC12A1;Day 0
ANO8;Day 0
TUBE1;Day 0
ARHGEF10L;Day 0
KCNQ2;Day 0
TIPIN;Day 0
GTSE1;Day 0
TTC38;Day 0
ACAT1;Day 0
CELSR1;Day 0
RASAL2;Day 0
ZNF37A;Day 0
FOSL2;Day 0
FSCN1;Day 0
ACTB;Day 0
PLD1;Day 0
SEC31B;Day 0
MCM6;Day 0
REXO2;Day 0
RBMS2;Day 0
PTPN23;Day 0
TPD52;Day 0
ACACB;Day 0
ICAM3;Day 0
NT5C2;Day 0
GPC4;Day 0
MBNL3;Day 0
CAMSAP3;Day 0
XAB2;Day 0
CTTNBP2;Day 0
TOP2B;Day 0
IL4R;Day 0
PAK3;Day 0
CAPN6;Day 0
DCX;Day 0
EXOSC5;Day 0
DYNC1I2;Day 0
SIRT6;Day 0
SLC25A43;Day 0
FGFR1;Day 0
FBLN1;Day 0
AMPH;Day 0
ARAF;Day 0
NEBL;Day 0
ACER3;Day 0
UBE2K;Day 0
PIK3C3;Day 0
TIGAR;Day 0
SYNJ2;Day 0
ADCY2;Day 0
PMS2P1;Day 0
MLLT10;Day 0
ADCYAP1R1;Day 0
ITM2A;Day 0
VDAC3;Day 0
TNRC6C;Day 0
CBFA2T2;Day 0
BRINP1;Day 0
SDF4;Day 0
UBE2D4;Day 0
RUNX1T1;Day 0
OSBPL6;Day 0
SLC1A3;Day 0
LXN;Day 0
REXO1;Day 0
SAR1A;Day 0
RAPGEF3;Day 0
CEACAM1;Day 0
CIC;Day 0
LIPE;Day 0
CARMIL1;Day 0
PGM1;Day 0
DDX1;Day 0
EPB41L2;Day 0
MOXD1;Day 0
SMARCA2;Day 0
SESN1;Day 0
PUM3;Day 0
DLGAP4;Day 0
IGSF9B;Day 0
CROCCP3;Day 0
NDC80;Day 0
AFP;Day 0
COL4A4;Day 0
PCNP;Day 0
ARG2;Day 0
PKP1;Day 0
STK17B;Day 0
ZNF510;Day 0
ZNF506;Day 0
DUSP12;Day 0
AACS;Day 0
CADPS2;Day 0
PCDHA6;Day 0
PHLPP1;Day 0
IL12RB2;Day 0
BZW1;Day 0
CCNT2;Day 0
FAM135A;Day 0
DLG3;Day 0
TRAF5;Day 0
GEMIN5;Day 0
NFE2L1;Day 0
SEMA5B;Day 0
ITGB5;Day 0
ERC1;Day 0
RNF13;Day 0
PALB2;Day 0
ULK2;Day 0
TNPO1;Day 0
PLOD1;Day 0
CYLD;Day 0
ZNF416;Day 0
FAT1;Day 0
CHMP2B;Day 0
PPIE;Day 0
ZMPSTE24;Day 0
NOA1;Day 0
GSTP1;Day 0
SLCO1A2;Day 0
COL16A1;Day 0
NCOA1;Day 0
RAB10;Day 0
HADHA;Day 0
CD59;Day 0
BCORL1;Day 0
ATRX;Day 0
MYNN;Day 0
MECOM;Day 0
SCAMP1;Day 0
SEH1L;Day 0
WDFY1;Day 0
OVGP1;Day 0
IGSF9;Day 0
ZNF213;Day 0
DDHD2;Day 0
CHERP;Day 0
POMGNT1;Day 0
DNAJA1;Day 0
IPO11;Day 0
FOLH1;Day 0
EIF2AK1;Day 0
SNX10;Day 0
MRPL28;Day 0
ZFAND6;Day 0
TXLNG;Day 0
MYBPC2;Day 0
HSD17B14;Day 0
FTL;Day 0
SRRT;Day 0
BAX;Day 0
NLK;Day 0
PIGS;Day 0
ADAMTS2;Day 0
UIMC1;Day 0
MMP2;Day 0
GNAO1;Day 0
ADD1;Day 0
L2HGDH;Day 0
TXNDC16;Day 0
RTRAF;Day 0
NID2;Day 0
GNAS;Day 0
PIR;Day 0
DDX18;Day 0
KHSRP;Day 0
DNMT3B;Day 0
TPX2;Day 0
PDRG1;Day 0
DOCK9;Day 0
ANKRD10;Day 0
DOCK3;Day 0
ARHGAP28;Day 0
SLC4A11;Day 0
CPXM1;Day 0
LZTS3;Day 0
XRN2;Day 0
KIZ;Day 0
DYNLL1;Day 0
TESC;Day 0
ESF1;Day 0
TMEM230;Day 0
KDM2B;Day 0
LHX5;Day 0
PEBP1;Day 0
ERP29;Day 0
FXYD5;Day 0
GRAMD1A;Day 0
GANAB;Day 0
RBM41;Day 0
BIRC5;Day 0
ARHGAP4;Day 0
ANKRD24;Day 0
GPATCH2L;Day 0
LTBP4;Day 0
SLC9A1;Day 0
PAPOLA;Day 0
YPEL3;Day 0
NUDC;Day 0
IRAK3;Day 0
TFAP4;Day 0
P3H2;Day 0
CHRD;Day 0
ZNF268;Day 0
GOLGA3;Day 0
PABPC4;Day 0
CERS4;Day 0
USP48;Day 0
EFNB1;Day 0
PDPR;Day 0
AARS;Day 0
GLG1;Day 0
DLL3;Day 0
PITPNM2;Day 0
RBM27;Day 0
OSBPL8;Day 0
PUS7;Day 0
LAMB1;Day 0
MAP3K20;Day 0
FH;Day 0
SEL1L3;Day 0
TF;Day 0
MYO15A;Day 0
PITPNM3;Day 0
ORC6;Day 0
CD200;Day 0
CCDC80;Day 0
JPH4;Day 0
G2E3;Day 0
HECTD1;Day 0
SUPT16H;Day 0
GEMIN2;Day 0
DAZL;Day 0
TBL1Y;Day 0
SEMA6A;Day 0
TRPM7;Day 0
TYRO3;Day 0
WDR76;Day 0
PHGDH;Day 0
COL9A3;Day 0
EZR;Day 0
AGO1;Day 0
CLSPN;Day 0
NUP50;Day 0
COMT;Day 0
ADA2;Day 0
ECHDC1;Day 0
HDAC6;Day 0
CDC6;Day 0
CBX5;Day 0
MSH2;Day 0
MAP3K1;Day 0
HOOK2;Day 0
ARCN1;Day 0
EPB41L4B;Day 0
CRAT;Day 0
TBC1D2;Day 0
WHRN;Day 0
BTAF1;Day 0
IKZF5;Day 0
TLL2;Day 0
SORBS1;Day 0
BAMBI;Day 0
WAC;Day 0
NUBP2;Day 0
HIVEP1;Day 0
FKBP5;Day 0
ZNF184;Day 0
DSP;Day 0
SIRT1;Day 0
IFT74;Day 0
ACOT7;Day 0
SYDE2;Day 0
PCSK5;Day 0
SCD;Day 0
ERMP1;Day 0
RAB18;Day 0
NRP1;Day 0
WASHC2A;Day 0
MAST3;Day 0
MZF1;Day 0
MYO9B;Day 0
KCNK6;Day 0
FBXL19;Day 0
CIRBP;Day 0
ATP5F1D;Day 0
CBARP;Day 0
PCDH11Y;Day 0
PRKY;Day 0
HNRNPM;Day 0
TIMM13;Day 0
CDC34;Day 0
MTAP;Day 0
CEP170B;Day 0
POLRMT;Day 0
